alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,num_auto,num_moto,num_bici,num_radio,num_tvd,num_licua,num_micro,num_refri,num_estuf,num_lavad,num_planc,num_venti,num_compu,num_impre,num_juego,ing_tri
7,0,7,2,7,3,0,7,7,7,7,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,17706.48
7,1,7,7,2,0,0,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,4842.37
7,2,7,7,5,2,2,7,7,7,2,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,14673.91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15309.74
7,0,3,7,7,0,0,2,7,7,7,1,0,1,1,1,1,1,1,1,1,1,0,2,0,0,46247.26
7,3,7,7,2,3,1,3,7,7,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,56714.67
7,3,7,4,4,4,2,7,7,7,2,0,0,0,0,2,1,1,1,1,1,1,0,1,1,0,37650.8
7,3,7,7,4,4,2,7,2,7,4,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,10516.29
7,5,7,7,7,7,3,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,40646.72
7,2,7,2,3,7,1,7,7,7,7,1,0,0,0,2,1,1,1,1,1,1,1,1,1,0,42872.25
7,4,3,2,3,7,0,4,3,7,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22793.43
7,7,7,4,1,0,0,7,0,7,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,10565.21
7,2,5,5,3,3,1,7,7,7,7,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,23478.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,4636.95
7,2,7,7,2,4,0,7,7,7,7,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,30688.01
7,2,2,7,5,1,0,2,7,7,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,7571.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5771.73
6,1,7,7,6,2,0,4,7,7,7,2,0,1,1,0,1,1,1,1,1,1,0,0,0,1,28100.52
7,7,7,3,3,4,0,3,4,5,2,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,15065.2
7,2,7,7,3,5,2,7,7,7,7,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,35217.39
